,pos_x,pos_y,r,t
0,25.0,15.0,0,0
1,25.0,15.0,0,2
2,25.0,15.0,0,4
3,25.0,15.0,0,6
4,25.0,15.0,0,8
5,25.0,15.0,0,10
6,25.0,15.0,0,12
7,25.0,15.0,0,14
8,25.0,15.0,0,16
9,25.0,15.0,0,18
10,25.0,15.0,0,20
11,25.0,15.0,0,22
12,25.0,15.0,0,24
13,25.0,15.0,0,26
14,25.0,15.0,0,28
15,25.0,15.0,0,30
16,25.0,15.0,0,32
17,25.0,15.0,0,34
18,25.0,15.0,0,36
19,25.0,15.0,0,38
20,25.0,15.0,0,40
21,25.0,15.0,0,42
22,25.0,15.0,0,44
23,25.0,15.0,0,46
24,25.0,15.0,0,48
25,25.0,15.0,0,50
26,25.0,15.0,0,52
27,25.0,15.0,0,54
28,25.0,15.0,0,56
29,25.0,15.0,0,58
30,25.0,15.0,0,60
31,25.0,15.0,0,62
32,25.0,15.0,0,64
33,25.0,15.0,0,66
34,25.0,15.0,0,68
35,25.0,15.0,0,70
36,25.0,15.0,0,72
37,25.0,15.0,0,74
38,25.0,15.0,0,76
39,25.0,15.0,0,78
40,25.0,15.0,0,80
41,25.0,15.0,0,82
42,25.0,15.0,0,84
43,25.0,15.0,0,86
44,25.0,15.0,0,88
45,25.0,15.0,0,90
46,25.0,15.0,0,92
47,25.0,15.0,0,94
48,25.0,15.0,0,96
49,25.0,15.0,0,98
50,25.0,15.0,0,100
51,25.0,15.0,0,102
52,25.0,15.0,0,104
53,25.0,15.0,0,106
54,25.0,15.0,0,108
55,25.0,15.0,0,110
56,25.0,15.0,0,112
57,25.0,15.0,0,114
58,25.0,15.0,0,116
59,25.0,15.0,0,118
60,25.0,15.0,0,120
61,25.0,15.0,0,122
62,25.0,15.0,0,124
63,25.0,15.0,0,126
64,25.0,15.0,0,128
65,25.0,15.0,0,130
66,25.0,15.0,0,132
67,25.0,15.0,0,134
68,25.0,15.0,0,136
69,25.0,15.0,0,138
70,25.0,15.0,0,140
71,25.0,15.0,0,142
72,25.0,15.0,0,144
73,25.0,15.0,0,146
74,25.0,15.0,0,148
75,25.0,15.0,0,150
76,25.0,15.0,0,152
77,25.0,15.0,0,154
